geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
bar,static_far,mask,-0.04,4.0,2,ok,contained,0.2116566386226332,0.5826317986186127,1.3571981373703854,0.3993324236310755,0.0,True,95,0.03054513423832236,,
bar,static_far,mask,-0.02,4.0,0,ok,contained,0.2116500769046522,0.5815763480930247,1.2806900575269917,0.40165436494374623,0.0,False,100,0.034186953251951785,,
bar,static_far,mask,-0.02,4.0,1,ok,contained,0.20866617897281434,0.5861950313660259,1.2507735168852714,0.3987275267575238,0.0,True,91,0.04411023661173634,,
bar,static_far,mask,-0.02,4.0,2,ok,contained,0.21197929727467243,0.580129883997288,1.3400204328023322,0.4002018165654139,0.0,False,100,0.03255502185613458,,
bar,static_far,mask,0.0,4.0,0,ok,contained,0.2122791779547693,0.5793930912281204,1.269246333962399,0.40558543386540397,0.0,False,100,0.0361882247347306,,
bar,static_far,mask,0.0,4.0,1,ok,contained,0.2093055986559857,0.5839372707133618,1.240475117803851,0.40266480414008443,0.0,False,100,0.04660130775789946,,
bar,static_far,mask,0.0,4.0,2,ok,contained,0.21261758907692402,0.5775677707914896,1.3320285161730994,0.40398603214976275,0.0,False,100,0.034464260102318,,
bar,static_far,mask,0.02,4.0,0,ok,contained,0.2128301988391479,0.5779281382809419,1.2681118712943764,0.41011289828938213,0.0,True,97,0.03807873516703158,,
bar,static_far,mask,0.02,4.0,1,ok,contained,0.20981678897901954,0.5827911328401801,1.2428810919945423,0.4072754994389357,0.0,False,100,0.04855605847794275,,
bar,static_far,mask,0.02,4.0,2,ok,contained,0.21325776342166297,0.5759225264119205,1.3420265093288057,0.40920692011494814,0.0,False,100,0.03619588073913644,,
bar,static_far,mask,0.04,4.0,0,ok,contained,0.2134073928256476,0.5766723603254148,1.288449467464719,0.4160665361575471,0.0,True,90,0.04042877826686221,,
bar,static_far,mask,0.04,4.0,1,ok,contained,0.2104363541973166,0.5816929408000618,1.2699169534535257,0.41398736148749865,0.0,True,95,0.05119268503389713,,
bar,static_far,mask,0.04,4.0,2,ok,contained,0.21375719235009064,0.574788148998619,1.3611696789865373,0.4144141786158623,0.0,False,100,0.03814709516688378,,
bar,static_far,mask,-0.04,16.0,0,ok,contained,0.2067689586477896,0.5950979478801113,1.199452242520674,0.3695987743935197,0.0,False,100,0.041009906737861354,,
bar,static_far,mask,-0.04,16.0,1,ok,contained,0.20295823678992028,0.6049101001834449,1.1844040377116725,0.3630529641045266,0.0,False,100,0.05182438309453753,,
bar,static_far,mask,-0.04,16.0,2,ok,contained,0.2079624668099711,0.5913377142960009,1.26323586270298,0.37274252187975715,0.0,False,100,0.03917261936251005,,
bar,static_far,mask,-0.02,16.0,0,ok,contained,0.20653103455498126,0.5918964603538879,1.1475730456976547,0.3656665730071274,0.0,False,100,0.04635574369988821,,
bar,static_far,mask,-0.02,16.0,1,ok,contained,0.20333514034404906,0.5979360469167496,1.1345565608817405,0.36099772211508097,0.0,False,100,0.06266010163004099,,
bar,static_far,mask,-0.02,16.0,2,ok,contained,0.2080200866785307,0.5871331901116861,1.2138291109938366,0.3704350912297651,0.0,False,100,0.04427572884021963,,
bar,static_far,mask,0.0,16.0,0,ok,contained,0.20775818711710548,0.5849918416060894,1.1036930115236863,0.3707318494403245,0.0,False,100,0.05203499002666126,,
bar,static_far,mask,0.0,16.0,1,ok,contained,0.20451730149030634,0.5901692988606144,1.09724333590139,0.364604009291242,0.0,False,100,0.07199249127826698,,
bar,static_far,mask,0.0,16.0,2,ok,contained,0.20931818073270228,0.5793909744245603,1.1736086360771159,0.3755662588489813,0.0,False,100,0.05035779116762393,,
bar,static_far,mask,0.02,16.0,0,ok,contained,0.20964405540428108,0.5783729361634696,1.0780759277749594,0.3830438177324285,0.0,False,100,0.058017019294625785,,
bar,static_far,mask,0.02,16.0,1,ok,contained,0.20620210307902923,0.5844739977796118,1.077499095772126,0.3760992791371244,0.0,False,100,0.08015143192295655,,
bar,static_far,mask,0.02,16.0,2,ok,contained,0.2114991179116497,0.5724244114314873,1.1578989729351612,0.3904447639697861,0.0,False,100,0.05602087821544781,,
bar,static_far,mask,0.04,16.0,0,ok,contained,0.2122276448508064,0.5732274320617172,1.1206490301152423,0.40561015521116106,0.0,False,100,0.06475315074696601,,
bar,static_far,mask,0.04,16.0,1,ok,contained,0.20892005464517246,0.5797017758433147,1.120783117901838,0.40053575738288083,0.0,False,100,0.08973411401563475,,
bar,static_far,mask,0.04,16.0,2,ok,contained,0.213544795825361,0.5681930574314356,1.2021810397416581,0.4091343070239136,0.0,False,100,0.06120633241470099,,
bar,static_far,mask,-0.04,64.0,0,ok,contained,0.20098041148627693,0.6138842834513902,1.1211265760213232,0.33662988799122506,0.0,False,100,0.048488700418126154,,
bar,static_far,mask,-0.04,64.0,1,ok,contained,0.19865050730821562,0.620205884487129,1.142485056372125,0.3389251457751856,0.0,False,100,0.058401342942315304,,
bar,static_far,mask,-0.04,64.0,2,ok,contained,0.20273246205479312,0.6089982462055772,1.1863658361851936,0.34175697097559427,0.0,False,100,0.04746777934622651,,
bar,static_far,mask,-0.02,64.0,0,ok,contained,0.19892847954987483,0.6152712743414801,1.0517985428874508,0.32393751410847155,0.0,False,100,0.058851798372935575,,
