geometry,edit,K,gamma_norm,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,is_degenerate,kernel_live,n_edges,converged,energy_final,error_msg
bar,bar_bend,32,5.0,0,ok,global,,,3.7945144075078523,1.570504726039175,0.0073698879777027385,False,True,37314,False,0.0003518240360539646,
bar,bar_bend,32,5.0,1,ok,global,,,3.4929716353063873,1.518403931336185,0.006060932575492282,False,True,37123,False,0.00031678999985693715,
bar,bar_bend,32,5.0,2,ok,global,,,3.722644615683084,1.4181547586458598,0.012947858623381518,False,True,37149,False,0.00042782659876799067,
bar,bar_bend,32,20.0,0,ok,degenerate,,,9.561729284703155,1.5309498684455758,0.7213378356648978,True,False,37314,False,4.805235369954192e-06,
bar,bar_bend,32,20.0,1,ok,degenerate,,,9.453796957365633,0.9885965492540879,0.7203081647496161,True,False,37123,False,5.246872900980047e-06,
bar,bar_bend,32,20.0,2,ok,degenerate,,,9.498700267360478,1.57445438619471,0.715335540660583,True,False,37149,False,5.09753574223202e-06,
bar,bar_bend,32,50.0,0,ok,degenerate,,,9.561729284703155,1.3623651373904333,0.9232191670686606,True,False,37314,True,5.627561375843849e-07,
bar,bar_bend,32,50.0,1,ok,degenerate,,,9.453796957365633,1.2264898020665271,0.9228241252053982,True,False,37123,False,5.292369211241721e-07,
bar,bar_bend,32,50.0,2,ok,degenerate,,,9.498700267360478,1.424770430641263,0.9215591267598051,True,False,37149,True,5.51615589174897e-08,
bar,static_far,4,1.0,0,ok,contained,0.2160443706296398,0.5727380712018278,1.4072182071388297,0.436946118933257,0.0,False,True,4953,False,0.053437451132563984,
bar,static_far,4,1.0,1,ok,contained,0.21257777893303356,0.5787862490097201,1.3702123572804443,0.43175963781366483,0.0,False,True,4987,True,0.0716611811087651,
bar,static_far,4,1.0,2,ok,contained,0.2146633332245144,0.5753268845573069,1.4289609533871335,0.4219206623079793,0.0,False,True,4982,False,0.0483890950136671,
bar,static_far,4,2.0,0,ok,contained,0.21578325241510718,0.5735751863923054,1.4004978036959665,0.4350224716431295,0.0,False,True,4953,False,0.03301149568344363,
bar,static_far,4,2.0,1,ok,contained,0.21246238559413616,0.5794126813360136,1.3701534393923325,0.4311032312860674,0.0,False,True,4987,False,0.04378336360520542,
bar,static_far,4,2.0,2,ok,contained,0.21455610615405896,0.5761681483997464,1.4338074696297198,0.4214623189302438,0.0,False,True,4982,False,0.02968474890181526,
bar,static_far,4,3.0,0,ok,contained,0.21549276466962966,0.5744850966838528,1.3930815257284355,0.43285649255746894,0.0,False,True,4953,False,0.020338487754718776,
bar,static_far,4,3.0,1,ok,contained,0.2123882298411714,0.5799981877288467,1.3715476380256066,0.430801280636581,0.0,False,True,4987,False,0.026774162261998163,
bar,static_far,4,3.0,2,ok,contained,0.2145137787006605,0.5768104157683577,1.4398681272356186,0.4215004445281663,0.0,False,True,4982,False,0.018245403393869986,
bar,static_far,4,5.0,0,ok,contained,0.21489496832194915,0.576217527320517,1.377232768738245,0.42826832884749266,0.0,False,True,4953,False,0.007764847240094933,
bar,static_far,4,5.0,1,ok,contained,0.2124027659622111,0.5807877542112143,1.3779492160124083,0.4314797689387324,0.0,False,True,4987,False,0.010115954068186585,
bar,static_far,4,5.0,2,ok,contained,0.21467850241662256,0.5772125534418453,1.4555099598383814,0.42338902741829404,0.0,False,True,4982,False,0.00700520617443761,
bar,static_far,4,20.0,0,ok,contained,0.21342308697419315,0.5727371041254598,1.2682588106351687,0.40868657559950733,0.019180294770845954,False,True,4953,False,3.922109231009195e-05,
bar,static_far,4,20.0,1,ok,contained,0.2223398790194754,0.5531218133525132,1.517034273086433,0.5130076169007091,0.01985161419691197,False,True,4987,False,5.066604352839499e-05,
bar,static_far,4,20.0,2,ok,contained,0.22048151232730945,0.5562144948345792,1.4732364153028872,0.4665842120199869,0.01625853071055801,False,True,4982,False,4.8159674217188275e-05,
