geometry,gamma_norm,K,seed,w_mean,w_min,w_max,w_std,w_spread,q000,q010,q020,q030,q040,q050,q060,q070,q080,q090,q100,floored_fraction,n_edges,kernel_live
blob,2.0,12,2,0.30543517957815275,0.009070198378784436,0.9989212409384625,0.20832250647526837,0.989851042559678,0.009070198378784436,0.09386925558422295,0.1315521609855162,0.16574950274683645,0.20087509986179228,0.24524713257488612,0.29990668026582834,0.37016913964546005,0.4680151828061287,0.6238749030762606,0.9989212409384625,0.0,13850,True
blob,3.0,12,0,0.19834303240138718,0.0002440001196958609,0.9954297027269072,0.19895768574732944,0.9951857026072114,0.0002440001196958609,0.027157804437496477,0.046764758119155175,0.06612667247975276,0.09059046418119995,0.12259972691012685,0.16724729599122284,0.23100360922244956,0.32912139371913335,0.4994926775741724,0.9954297027269072,0.0,13866,True
blob,3.0,12,1,0.19926720294921335,0.0014036092638107156,0.9963386673502779,0.19971865834116262,0.9949350580864672,0.0014036092638107156,0.02727924552086829,0.046767620377373066,0.06664419233265027,0.09075415457672001,0.1237846501830712,0.16826941235936824,0.2326757518400476,0.3301295246186575,0.49934160405854566,0.9963386673502779,0.0,13941,True
blob,3.0,12,2,0.19668351333258546,0.0008638238263114911,0.9983822978816037,0.1979550964095198,0.9975184740552923,0.0008638238263114911,0.028759747029904043,0.047714126757638683,0.06748050923674194,0.0900303956389636,0.12145234581225187,0.16424010323452456,0.22521656222903594,0.3201768443046698,0.4927722902996751,0.9983822978816037,0.0,13850,True
blob,5.0,12,0,0.10214588360331131,9.527597438257867e-07,0.9923944480116875,0.16367799369326394,0.9923934952519436,9.527597438257867e-07,0.0024537181777115023,0.0060701276026067135,0.010813371325763207,0.018272759642805645,0.030256304308960126,0.050768988201440005,0.08696902655496452,0.15688937120698307,0.3144477983084657,0.9923944480116875,0.0,13866,True
blob,5.0,12,1,0.102872450830414,1.759585508128448e-05,0.9939052293709829,0.16497653854093428,0.9938876335159016,1.759585508128448e-05,0.002472031066573234,0.006070746823425175,0.010954784747544867,0.01832782203211135,0.030745247216360946,0.05128715754425332,0.08802077941063592,0.15769113444015073,0.3142892935172661,0.9939052293709829,0.0,13941,True
blob,5.0,12,2,0.10082538410700874,7.835053468965848e-06,0.9973052839308852,0.16341161556732064,0.9972974488774162,7.835053468965848e-06,0.0026996560699152953,0.006276896491967956,0.011184860853813743,0.01808486473903215,0.029785839555021627,0.04925670413419631,0.08336822925990195,0.14984763340619398,0.3074282800782371,0.9973052839308852,0.0,13850,True
blob,20.0,12,0,0.012979467129207193,8.240121130267895e-25,0.9699231021640027,0.06539584245131287,0.9699231021640027,8.240121130267895e-25,3.6249856914437774e-11,1.3576608121578945e-09,1.3672391909957768e-08,1.1148503292591552e-07,8.380400308254152e-07,6.643455540351222e-06,5.7208220266667514e-05,0.0006058625238177985,0.009776753866430812,0.9699231021640027,0.2835713255444973,13866,True
blob,20.0,12,1,0.013451062587071964,9.58609008521996e-20,0.9758428906469135,0.06744387263775499,0.9758428906469135,9.58609008521996e-20,3.7343558279023804e-11,1.3582148832041919e-09,1.4401754181029503e-08,1.1283489688618486e-07,8.93535800909139e-07,6.918859641155092e-06,6.0026198411665364e-05,0.0006183425179348894,0.00975704587448618,0.9758428906469135,0.2823326877555412,13941,True
blob,20.0,12,2,0.012937099950635253,3.768494261894078e-21,0.9892646264737632,0.06515222033649537,0.9892646264737632,3.768494261894078e-21,5.311703936986185e-11,1.5523150966507794e-09,1.5650288398656143e-08,1.0696977304140344e-07,7.871171647653687e-07,5.88655759074211e-06,4.830625565556439e-05,0.0005041969481585633,0.008932557082400854,0.9892646264737632,0.27855595667870037,13850,True
blob,50.0,12,0,0.0031517384193494795,6.163593517774727e-61,0.9264953826965578,0.03320499281722182,0.9264953826965578,6.163593517774727e-61,7.912315877632748e-27,6.791695501087154e-23,2.1858049536089404e-20,4.149936162653149e-18,6.429365871211322e-16,1.13758820998078e-13,2.4754040552563888e-11,9.035147026468322e-09,9.451243415970768e-06,0.9264953826965578,0.8004471368815809,13866,False
blob,50.0,12,1,0.003381894945266087,2.845140808570218e-48,0.9406969939446111,0.03463487631693574,0.9406969939446111,2.845140808570218e-48,8.521955131318024e-27,6.798626970424713e-23,2.4890778754420502e-20,4.276698072530528e-18,7.5470963543021e-16,1.2591756046267792e-13,2.791592986547319e-11,9.507641010399233e-09,9.403637241751884e-06,0.9406969939446111,0.799583960978409,13941,False
blob,50.0,12,2,0.00313510588177315,8.71805582861835e-52,0.9733772694874988,0.033956343559213946,0.9733772694874988,8.71805582861835e-52,2.0562937768157488e-26,9.494011803936256e-23,3.064120748951437e-20,3.7424220156445295e-18,5.49665473468365e-16,8.407241067273423e-14,1.6218615625856476e-11,5.70826116156364e-09,7.5412302899644884e-06,0.9733772694874988,0.807870036101083,13850,False
